plaka,dakika,saat,gun,ay,yil,skod
16FOK159,22,3,11,1,2015,16
52PB108,44,18,22,2,2017,52
79YS576,59,15,5,1,2016,79
12ED996,3,9,23,6,2016,12
68JZE809,7,16,7,1,2017,68
66PY325,43,16,26,6,2017,66
02LJR29,23,8,11,9,2015,02
51DT772,12,23,31,4,2016,51
51NEO524,24,20,19,11,2016,51
31CGZ458,42,24,16,4,2015,31
70TZ680,57,7,28,2,2015,70
75YFZ248,26,1,14,11,2015,75
26KBI480,21,18,5,8,2015,26
12AB59,38,1,19,4,2018,12
75ZOP685,39,16,27,3,2017,75
64KF734,18,9,17,10,2015,64
55GHZ116,23,24,6,6,2016,55
34NE695,19,13,13,8,2018,34
26FO954,59,9,1,5,2018,26
01EGF252,22,23,20,7,2018,01
15IG649,47,16,29,4,2016,15
36BKP31,37,18,7,10,2016,36
79HNL753,35,3,22,4,2018,79
60YKF810,4,4,22,7,2017,60
31LKU710,14,4,8,12,2018,31
12UBL515,53,6,13,10,2017,12
70USR937,25,3,15,9,2018,70
45SE946,55,20,24,6,2017,45
20GK910,22,10,2,9,2016,20
60VAO352,27,1,6,2,2015,60
22DC448,43,21,30,5,2015,22
79KOE764,45,12,31,3,2017,79
43ZVG172,56,14,11,6,2018,43
25ATJ196,22,19,15,1,2015,25
06RO918,47,16,14,1,2016,06
56PV315,5,10,17,3,2018,56
12IMF463,56,5,21,8,2016,12
05YF336,33,4,30,2,2016,05
36UFP695,46,4,24,4,2016,36
72FO814,38,8,30,12,2015,72
09PB388,9,19,24,2,2015,09
80JUG809,25,14,30,10,2015,80
33DU591,32,15,26,8,2016,33
36KI935,35,6,6,4,2017,36
66TNL868,8,8,11,2,2015,66
03NO234,40,21,20,6,2015,03
17NK567,18,1,25,6,2015,17
13ZP911,22,8,16,8,2016,13
73JM990,20,16,9,7,2016,73
23SNZ263,31,18,25,7,2015,23
41DN670,41,3,20,2,2016,41
38FE662,22,15,14,2,2017,38
09PVG571,51,5,17,6,2018,09
80ND7,29,19,4,3,2015,80
34DNC249,45,18,6,9,2016,34
61HYS540,47,15,2,9,2016,61
35NZP730,46,20,5,8,2018,35
09TB573,57,19,8,2,2016,09
74CGB553,53,23,21,2,2018,74
40VRP556,15,12,8,4,2018,40
26SCP606,2,3,6,4,2016,26
42BRL61,35,2,27,2,2015,42
47ZHP962,58,19,29,2,2015,47
07CYM95,9,12,26,5,2017,07
65HY186,5,6,12,9,2015,65
28GL680,38,14,7,9,2018,28
21ETN291,21,3,17,7,2015,21
04RUT910,15,6,1,12,2016,04
56LZ651,48,5,16,4,2017,56
25IUF519,12,1,31,3,2016,25
54YGL795,45,19,8,11,2017,54
30LY471,5,11,26,9,2016,30
41CZG716,21,2,14,10,2017,41
29IS637,11,19,14,2,2016,29
12ITN115,49,17,2,1,2015,12
46JVL63,17,19,7,3,2016,46
29PF12,39,11,20,8,2015,29
24EC750,2,17,15,2,2018,24
62RN436,60,19,11,9,2018,62
38TD279,57,13,20,7,2018,38
21CDR609,35,11,28,10,2016,21
51UNR316,51,16,31,11,2017,51
43FT15,20,5,20,7,2015,43
44CZ607,19,2,14,12,2017,44
67BT183,47,11,3,2,2016,67
71RMB358,37,18,16,12,2015,71
51SCD248,42,3,15,9,2016,51
50ZOM886,25,6,26,1,2015,50
40DAK315,60,5,9,2,2017,40
41ZDM657,22,6,29,6,2018,41
42RT636,54,3,28,7,2018,42
70SF567,20,2,1,7,2016,70
56UZI465,50,4,9,8,2018,56
52UBG64,30,2,4,11,2016,52
46HY135,30,20,1,5,2017,46
67BD73,24,7,1,1,2015,67
47KC691,34,2,29,8,2017,47
05CT490,33,11,1,12,2018,05
56NO42,54,20,13,12,2015,56
19BA837,46,7,18,1,2016,19
57ZSM835,37,13,27,5,2016,57
73LH25,56,9,9,10,2017,73
67AC686,40,1,26,4,2018,67
57GH255,9,5,17,8,2017,57
56GR542,51,23,19,9,2017,56
08RL554,38,22,11,9,2017,08
18MT894,40,21,22,1,2018,18
35HDG594,22,11,20,10,2017,35
51ZGP591,11,5,26,3,2016,51
47NP759,55,24,23,5,2018,47
35TNO563,7,5,18,4,2017,35
51CF448,7,9,5,6,2017,51
03OPZ56,54,2,2,7,2017,03
17CM726,6,10,17,3,2017,17
63GN308,4,9,26,8,2018,63
11HC840,16,9,3,5,2017,11
04HE958,29,3,2,11,2017,04
22JN876,47,2,13,11,2016,22
48OEV347,5,13,5,4,2017,48
55ZYD191,46,19,24,3,2018,55
34GZB46,3,7,26,11,2016,34
20TUD65,59,6,25,5,2016,20
44YOA112,59,11,30,12,2015,44
33HD701,50,9,4,12,2015,33
70SVZ846,12,24,17,8,2015,70
66EI971,54,2,3,11,2015,66
55VP462,36,19,28,11,2017,55
63FU854,19,14,8,11,2018,63
55RLJ385,55,4,22,6,2015,55
49FA731,48,16,25,7,2015,49
15BVI226,27,2,30,6,2018,15
67VS403,60,23,14,12,2018,67
35RAF110,36,22,21,11,2015,35
36EZT255,36,11,24,10,2015,36
30ZT570,37,13,5,2,2017,30
63IM319,34,15,14,9,2016,63
58SZH616,50,20,31,12,2016,58
21RA741,11,23,10,9,2017,21
73TS968,36,24,20,6,2016,73
73OV426,12,17,19,4,2017,73
29DBY395,7,12,16,2,2015,29
22VDG348,3,24,28,9,2015,22
69MI308,6,22,26,12,2018,69
73JB626,24,5,26,8,2017,73
50CBF508,47,1,21,5,2015,50
20GU635,24,22,16,12,2017,20
31UR641,43,23,16,2,2015,31
03YC904,8,1,27,7,2017,03
40MEV72,15,2,29,4,2016,40
05SE386,8,18,23,2,2015,05
47OZP819,42,24,14,1,2018,47
53VU753,54,4,17,10,2018,53
43BH830,21,13,7,11,2017,43
67AZ22,43,10,16,5,2018,67
10TC888,53,12,15,5,2016,10
34JNA216,14,20,19,9,2018,34
73NBV66,32,9,13,8,2018,73
80FL407,46,16,5,7,2015,80
46IN380,28,11,16,3,2016,46
33YH54,24,5,13,10,2017,33
77JZU932,39,13,2,1,2018,77
48RGP285,45,17,6,8,2017,48
15MV47,21,4,7,7,2018,15
15HI211,6,5,11,6,2016,15
18RHE445,48,15,18,3,2017,18
35IGB656,16,15,6,7,2018,35
55TKL628,48,14,22,5,2017,55
09KAY706,11,14,25,7,2016,09
55GSD226,53,1,2,7,2016,55
40UTK330,46,11,19,1,2016,40
79RN136,6,23,18,6,2018,79
67LE252,10,17,19,9,2015,67
20FMT635,27,23,21,9,2018,20
52VT38,47,16,30,12,2018,52
50EL923,47,18,24,6,2017,50
68AL652,43,20,5,6,2015,68
21VF519,26,6,14,3,2015,21
44GC910,2,10,19,8,2015,44
43BTL899,4,24,19,2,2015,43
24BT803,39,23,19,9,2017,24
10PBK246,46,4,25,6,2016,10
76FZ281,5,4,6,11,2015,76
23BJG7,43,15,17,12,2016,23
46CTK739,4,23,18,3,2017,46
35JE38,2,16,26,10,2016,35
65HB923,40,12,9,10,2018,65
05MDK198,14,20,30,7,2017,05
20KZ865,41,3,11,8,2016,20
48ZJM767,33,7,9,11,2016,48
75VTJ991,20,2,29,10,2016,75
23CS269,34,19,3,10,2016,23
67JG649,53,2,3,4,2015,67
32GDM255,15,14,5,7,2016,32
26CAR377,6,20,3,6,2015,26
74CZ588,59,7,4,6,2018,74
33HDC776,55,23,22,2,2015,33
63JC312,7,5,23,10,2015,63
21EL662,31,11,4,2,2018,21
31GL691,53,7,18,8,2017,31
17DRM193,24,3,21,12,2018,17
37LB217,57,16,5,3,2017,37
29RM798,47,18,27,2,2018,29
17UOR361,14,22,20,1,2016,17
45KI906,1,24,10,5,2016,45
26YZG457,48,14,2,1,2016,26
03ARC827,9,5,13,2,2017,03
78SI876,35,20,23,1,2017,78
11OHE861,60,2,26,4,2016,11
01IVK638,28,18,9,3,2016,01
10HB872,51,21,24,11,2016,10
76YBA102,49,21,13,3,2016,76
47GRO592,56,15,25,9,2016,47
62UNT11,40,3,2,10,2015,62
33OIR206,47,12,7,5,2015,33
68BDO691,8,1,20,8,2017,68
72LE815,24,14,2,3,2016,72
35ES496,7,2,24,12,2015,35
11EIT593,30,8,31,7,2015,11
34AM738,39,15,20,6,2015,34
62RIG705,5,2,12,3,2017,62
46SGE978,33,1,28,10,2017,46
37MJ523,9,18,21,5,2018,37
11PA116,47,14,25,4,2017,11
20HIE310,16,18,17,8,2015,20
49EHG126,35,8,20,5,2018,49
24HNA991,15,5,6,1,2018,24
75SRV973,2,14,8,10,2018,75
49MBY150,32,11,27,8,2015,49
76GY129,19,8,11,9,2016,76
61TDZ539,24,10,14,12,2016,61
75PG566,49,7,31,10,2016,75
21UFM492,23,2,14,11,2018,21
64TCU823,47,6,27,1,2017,64
59SA961,60,8,13,4,2016,59
42PN64,5,12,18,10,2017,42
43LU71,24,2,14,5,2015,43
14RVB969,37,23,11,7,2017,14
10FT209,20,10,1,12,2018,10
69HTM665,39,13,30,12,2016,69
03VB406,35,22,22,12,2017,03
27BPR22,20,19,7,9,2017,27
37AKE340,44,10,15,6,2018,37
22GPU681,16,5,3,6,2018,22
63FM836,6,24,27,2,2015,63
20RD590,15,17,25,1,2017,20
68HT33,30,11,30,12,2016,68
40KCE263,60,21,15,6,2016,40
67OG616,23,12,17,8,2016,67
14STV293,10,4,30,5,2016,14
68LI89,53,6,26,9,2018,68
54ZS063,58,25,17,9,2018,54
34AJE440,55,22,20,6,2018,34
